"Country","production_Mt","NUE","Output","Input","Loss"
"China",99265.3048230265,0.262367378,1985.30609646053,7566.89384021107,5581.58774375054
"India",69558.0354512609,0.249920897,1391.16070902522,5566.40411315912,4175.24340413391
"United States of America",55129.7917698929,0.507989461,1102.59583539786,2170.50927243126,1067.9134370334
"Russian Federation",46022.4051343674,0.618786815,920.448102687348,1487.50438822351,567.05628553616
"France",37272.5746729951,0.741859905,745.451493459902,1004.84132979245,259.38983633255
"Canada",25263.6696625761,0.503382906,505.273393251522,1003.75556505592,498.4821718044
"Germany",23818.2383238223,0.458604324,476.364766476446,1038.72715878808,562.36239231163
"Pakistan",20898.0066763942,0.199840916,417.960133527884,2091.46426014122,1673.50412661334
"Turkey",20852.80123493,0.422578931,417.0560246986,986.930474057638,569.874449359038
"Australia",19321.1251559533,0.540884848,386.422503119066,714.426563339534,328.004060220468
